%1 Details,%1 Detaljer
%1 [Trace ID: %2],%1 [Spår-ID: %2]
%1 customer address updated.,%1 kundadress uppdaterad.
%1 days,%1 dagar
%1 days - %2: value cannot be negative.,%1 dagar - %2: värdet får inte vara negativt.
%1 days - fixed amount: maximum is %2.,%1 dagar - fast belopp: maximum är %2.
%1 days - percentage: maximum is %2.,%1 dagar - procent: maximum är %2.
%1 order has been marked as cancelled,%1 beställning har markerats som avbruten
%1 order invoice has not been issued yet.,%1 orderfaktura har inte utfärdats ännu.
%1 order marked as completed.,%1 order markerad som slutförd.
%1 order marked as partially completed.,%1 order markerad som delvis slutförd.
%1 payment has been verified by the customer.,%1 betalning har verifierats av kunden.
%1 requires whole order to be shipped before it can be fulfilled.,%1 kräver att hela beställningen skickas innan den kan uppfyllas.
* Required Fields,* Obligatoriska fält
30 days,30 dagar
API key,API-nyckel
API key is missing,API-nyckel saknas
API key is not valid,API-nyckeln är inte giltig
API key is valid,API-nyckeln är giltig
Add Department Field,Lägg till fält för avdelning
Add optional tax_subtotals metadata to order creation payload to enforce additional validation (recommended).,Lägg till valfri tax_subtotals-metadata i orderskapandets payload för att tillämpa ytterligare validering (rekommenderas).
Add Order Note Field,Lägg till orderanteckningsfält
Add PO Number Field,Lägg till fält för PO-nummer
Add Project Field,Lägg till fält för projekt
Advanced,Avancerat
All Allowed Countries,Alla tillåtna länder
Allowed Countries,Tillåtna länder
Amount is missing,Belopp saknas
Amounts are shown in %1.,Belopp visas i %1.
Cannot convert surcharge from %1 to %2.,Kan inte konvertera tillägg från %1 till %2.
Check last 100 debug log records,Kontrollera de senaste 100 felsökningsloggposterna
Check last 100 error log records,Kontrollera de senaste 100 felloggposterna
Checkout Fields,Kassafält
Choose whether to enable this payment method for all allowed countries or only specific ones.,Välj om du vill aktivera denna betalningsmetod för alla tillåtna länder eller bara specifika.
City,Stad
City is not valid.,Stad är inte giltig.
Click here to log in or sign up as a Sole Trader.,Klicka här för att logga in eller registrera dig som enskild näringsidkare.
Company ID,Organisationsnummer
Company Name,Företagsnamn
Controls the position of this payment method relative to other payment methods at checkout. Lower numbers appear first. Default is empty (no specific order).,Styr positionen för denna betalningsmetod i förhållande till andra betalningsmetoder vid kassan. Lägre nummer visas först. Standard är tom (ingen specifik ordning).
Could not initiate capture with %1,Kunde inte initiera debitering med %1
Could not initiate refund with %1,Kunde inte initiera återbetalning med %1
Could not update %1 order status to cancelled. Please contact support with order ID %2. Error: %3,Kunde inte uppdatera %1 orderstatus till annullerad. Kontakta supporten med beställnings-ID %2. Fel: %3
Country,Land
Country Availability,Landstillgänglighet
Country is not valid.,Land är inte giltigt.
Credit Note,Kreditnota
Custom Payment Term (days),Anpassat betalningsvillkor (dagar)
Debug Mode,Felsökningsläge
Default Payment Term,Standard betalningsvillkor
Department,Avdelning
Description shown to the buyer for the surcharge line item.,Beskrivning som visas för köparen för tilläggsavgiften.
Developed by Magmodules.,Utvecklad av Magmodules.
Download,Ladda ner
Download as .txt file,Ladda ner som .txt-fil
Email Address,E-postadress
Email Address is not valid.,E-postadress är inte giltig.
Enable Address Search,Aktivera adresssökning
Enable Company Search,Aktivera företagssökning
Enable Invoice Emails,Aktivera fakturameddelanden
Enable Order Intent,Aktivera orderavsikt
Enable Payment Method,Aktivera betalningsmetod
Enable Tax Subtotals,Aktivera delsummor för skatt
End of Month,Månadsskifte
Enter a limit amount (in %1) if you do not want to charge your customer more than a specific amount.,Ange ett maxbelopp (i %1) om du inte vill debitera din kund mer än ett specifikt belopp.
Enter company name to search,Ange företagsnamn för att söka
Enter details manually,Ange detaljer manuellt
Enter the amount and percentage of the fee you want to charge your customer. Max %1 / %2.,Ange beloppet och procentandelen av avgiften du vill debitera din kund. Max %1 / %2.
Enter the amount you want to charge your customer. Max %1.,Ange beloppet du vill debitera din kund. Max %1.
Enter the percentage of the fee you want to charge your customer. Max: %1.,Ange procentandelen av avgiften du vill debitera din kund. Max: %1.
Environment,Miljö
Failed to refund order with %1. Reason: %2,Det gick inte att återbetala beställningen med %1. Orsak: %2
Failed to update %1 customer address: %2,Misslyckades med att uppdatera %1 kundadress: %2
Fee difference vs default payment term,Avgiftsskillnad mot standard betalningsvillkor
First Name,Förnamn
First Name is not valid.,Förnamn är inte giltigt.
Fixed Amount,Fast belopp
Fixed fee,Fast avgift
Fixed fee and percentage,Fast avgift och procent
"For all companies.","För alla företag, <a href=""https://doorpakken.abnamro.nl/hulpmiddelen-en-diensten/achteraf-betalen-buyer/faq/"" target=""_blank"" rel=""noopener"">läs mer</a>."
Fulfilment Order Status,Status för orderuppfyllelse
Fulfilment Trigger,Utlösare för orderuppfyllelse
Fulfilment can be triggered by either initializing shipping or creating an invoice in the Magento admin,Orderuppfyllelse kan utlösas antingen genom att initiera leverans eller genom att skapa en faktura i Magento-administrationen
General,Generellt
Hyva Extension,Hyva-tillägg
I accept the %1 and authorize %2 to process my data automatically.,Jag accepterar %1 och ger %2 tillstånd att behandla mina uppgifter automatiskt.
Invalid API response from %1.,Ogiltigt API-svar från %1.
Invoice,Faktura
Invoice email address,E-postadress för faktura
